"identifiant","nature_contrat","localisation_emploi","region_emploi","entreprise_groupe","groupe","intitule_emploi","remuneration_annuelle_brute","prime","remuneration_prime","taille_entreprise_premier_emploi","secteur_premiere_entreprise","status_cadre_premier_emploi","nom_entreprise_premier_emploi"
1798760225386290,"CDD (contrat de travail à durée déterminée)","En France","Île-de-France","Oui","Total","Ingénieur de projet",36000,"Non",36000,"250 à  4 999 salarié(e)s ","Construction, BTP","Oui","Bouygues energies et services"
1789139014496940,"","","","","","",NA,"",NA,"","","",""
1783551800309570,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","VSB Holding","Chargé d'Affaires",30000,"Oui",32000,"","","",""
1788742523348860,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Groupe CGI","Consultant SAP",29000,"Oui",29000,"","","",""
1888636169617940,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Acelys","Analyste Developpeur",28000,"Non",28000,"","","",""
1776170137315530,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","DATA ENGINEER",38000,"Oui",41000,"","","",""
1898486978428020,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","ingénieur développeur qualité débutant",30000,"Oui",30000,"","","",""
1767833231964470,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Rakuten","Developpeur Android",30800,"Oui",32000,"","","",""
1793984795250720,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","Capgemini","Chef de projet technique",32960,"Oui",33350,"","","",""
1788578216657640,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Développeur mobile",28880,"Non",28880,"","","",""
1782464366155500,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CGI","Ingénieur en Technologies de l'Information",29000,"Oui",30000,"","","",""
1783297984544300,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur étude et développement",28200,"Oui",31500,"","","",""
1775503193890190,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Etudes et Développement",30550,"Oui",30550,"","","",""
1876018957403790,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Back-end Scala",34000,"Non",34000,"","","",""
1798891408458220,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","CapGemini ","",31500,"Non",31500,"","","",""
1798487317038550,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Oui","cgi","Ingénieur des Technologies de l'Information",29000,"Non",29000,"","","",""
1782714871390490,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Sopra Steria","Ingénieur d'Etudes et développement",30550,"Oui",34100,"","","",""
1776621858821210,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur d'études et développement",29000,"Non",29000,"","","",""
1782529422968890,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Hauts-de-France","Oui","Sopra Steria Group","Consultant",28200,"Oui",31550,"","","",""
1788460045238170,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Non","","Ingénieur développement",38000,"Non",38000,"","","",""
1777059846996580,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Qualité Programme A350",31000,"Non",31000,"","","",""
1817047782834380,"","","","","","",NA,"",NA,"","","",""
1868316565723330,"","","","","","",NA,"",NA,"","","",""
1788414806499560,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","",28000,"Oui",28000,"","","",""
1788468022230090,"CDD (contrat de travail à durée déterminée)","En France","Occitanie","Oui","INRA","Ingénieur d'études",26000,"Non",26000,"250 à  4 999 salarié(e)s ","Construction, BTP","Oui","ETANDEX"
1788742468660480,"","","","","","",NA,"",NA,"","","",""
1894480386646310,"","","","","","",NA,"",NA,"","","",""
1813820751836070,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Oui","ORTEC ","Ingénieur études soudeur",31000,"Oui",32500,"","","",""
1766828031937710,"","","","","","",NA,"",NA,"","","",""
1793784660602810,"","","","","","",NA,"",NA,"250 à  4 999 salarié(e)s ","Fabrication de textiles, industries de l'habillement, industrie du cuir et de la chaussure","Non","Omerin"
1788410839633160,"","","","","","",NA,"",NA," Moins de 10 salarié(e)s ","Agriculture, sylviculture et pêche ","Non","Domaine du Pesquier"
1794579283898940,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Gexpertise ","Assistant Chef de Projet",33000,"Oui",40000,"","","",""
1857533979676060,"CDD (contrat de travail à durée déterminée)","En France","Île-de-France","Oui","Groupe ponticelli frère","Ingénieur soudage et contrôles",34000,"Non",34000,"","","",""
1788530287304060,"","","","","","",NA,"",NA,"","","",""
1783100854322520,"Mission d'intérim","En France","Occitanie","Oui","Airbus","Ingénieur matériaux ",31800,"Oui",33000,"","","",""
1767372926026850,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur gestion de projet ",33000,"Non",33000,"","","",""
1782921154332610,"","","","","","",NA,"",NA,"","","",""
1794332564639310,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","Non","","Ingénieur Mécanique",26000,"Non",26000,"","","",""
1775940845738490,"","","","","","",NA,"",NA,"","","",""
1857533990210840,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Occitanie","","","",40000,"Non",40000,"","","",""
1788692298075560,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Non","","Ingénieur mécanique en bureau d'études",33410,"Oui",33410,"","","",""
1783292944879190,"","","","","","",NA,"",NA,"","","",""
1882421156299700,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Oui","Abylsen","Ingénieur d'affaires",28000,"Oui",45000,"","","",""
