date,identifiant,sexe,nationalite_francaise,nationalite,annee_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,nb_mois_recherche_emploi,refus_emploi,difficultés_recherche,alternance,poste_occupe,secteur_activite,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,temps_partiel,nb_mois_occupation_emploi,handicap,taille_entreprise,service_emploi,intitule_poste,statut_cadre,secteur_activite,domaine_entreprise,remuneration_annuelle_brute,prime,remuneration_prime,alternance,statut,nature_contrat_premier_emploi,intitule_premier_emploi,localisation_premier_emploi,region_premier_emploi,pays_premier_emploi,ville_premier_emploi,taille_entreprise_premier_emploi,secteur_activite_entreprise_premier_emploi,statut_cadre_premier_emploi,temps_partiel_premier_emploi,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi
08/02/2019 14:14,"1,76818E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Auvergne-Rhône-Alpes,,Non,11.0,Non,250 à  4 999 salarié(e)s ,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur systèmes embarqués,Oui,"Sociétés de conseil, bureaux d études",,31000.0,Oui,31500.0,,,,,,,,,,,,,,,
08/02/2019 14:15,"1,78874E+15",Homme,Oui,,2018,Sous contrat d apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),9.0,En France,Occitanie,,Non,4.0,Non,De 10 à 19 salarié(e)s ,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur en systèmes embarqués,Oui,Recherche-développement scientifique,,29000.0,Non,29000.0,,,,,,,,,,,,,,,
08/02/2019 14:15,"1,78317E+15",Homme,Oui,,2017,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Île-de-France,,Non,,Non,5 000 salarié(e)s ou plus,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur FPGA,Oui,Télécommunications,,,,,,,,,,,,,,,,,,,
08/02/2019 17:55,"1,88905E+15",Femme,Oui,,2017,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),Mission d intérim,,En France,Auvergne-Rhône-Alpes,,Non,14.0,Non,250 à  4 999 salarié(e)s ,Environnement & Société,Ingénieure Environnement,Oui,"Énergie (Production et distribution d électricité, de gaz, de vapeur et d air conditionné)",,,Oui,,,,,,,,,,,,,,,,
08/02/2019 14:20,"1,78931E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,A l étranger,,Royaume-Uni,Non,5.0,Non,De 20 à 49 salarié(e)s ,Informatique industrielle et technique ,Front-End developer,Non,"Autres activités spécialisées, scientifiques et techniques",,45712.0,Non,45712.0,,,,,,,,,,,,,,,
25/02/2019 23:52,"1,78259E+15",Femme,Oui,,2016,Formation initiale (hors apprentissage),Sciences et Technologies de l Eau (STE),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Auvergne-Rhône-Alpes,,Non,30.0,Non,250 à  4 999 salarié(e)s ,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur de projet en hydraulique urbaine,Oui,"Autres activités spécialisées, scientifiques et techniques",,31000.0,Oui,32000.0,,,,,,,,,,,,,,,
08/02/2019 14:20,"1,79468E+15",Homme,Oui,,2017,Sous contrat d apprentissage,Systèmes Embarqués (SE - apprentissage),En thèse,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/02/2019 14:21,"1,79478E+15",Homme,Oui,,2018,Sous contrat d apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Auvergne-Rhône-Alpes,,Non,4.0,Non,5 000 salarié(e)s ou plus,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chargé d affaires,Oui,Métallurgie et fabrication de produits métalliques à l exception des machines et des équipements,,37000.0,Oui,39000.0,,,,,,,,,,,,,,,
08/02/2019 14:22,"1,76856E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Nouvelle-Aquitaine,,Non,6.0,Non,5 000 salarié(e)s ou plus,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur Bureau d etude,Oui,"Énergie (Production et distribution d électricité, de gaz, de vapeur et d air conditionné)","Energie, électronique, électrotechnique",34800.0,Oui,36000.0,,,,,,,,,,,,,,,
08/02/2019 14:23,"1,7892E+15",Homme,Oui,,2018,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée) y compris CDIC,,En France,Centre-Val de Loire,,Non,1.0,Non,250 à  4 999 salarié(e)s ,Informatique industrielle et technique ,Ingénieur en automatismes,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",,28800.0,Non,28800.0,,,,,,,,,,,,,,,
