Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,nom_entreprise,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,Unnamed: 133,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_premier_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,premier_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Femme,1856803862955290,Oui,,2019,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Pays de la Loire,,18.0,1.0,La Boulangère & Co,De 50 à 249 salarié(e)s ,Oui,Norac,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projets ,Non,Industrie agroalimentaire ,,,,25800.0,Non,25800.0,OUI,NON,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'absence d'alternative,oui,oui,3.0,4.0,4.0,2.0,3.0,,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Mobilité géographique compliquée,4.0,,,Oui
Femme,1788636474868090,Oui,,2020,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Hauts-de-France,,5.0,0.0,SB2O, Moins de 10 salarié(e)s ,Oui,Groupe V2R,Maîtrise d'ouvrage ,Chargée de missions en hydrogéologie,Non,"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques",,,,25896.0,Non,25896.0,NON,NON,,OUI,Non,Quotidiennement,Très rarement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,5.0,4.0,5.0,4.0,3.0,3.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1759195102887890,Oui,,2020,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),12.0,En France,Auvergne-Rhône-Alpes,,5.0,0.0,Nigay,250 à  4 999 salarié(e)s ,Non,,Amélioration continue ,Assistante amélioration continue ,Non,Industrie agroalimentaire ,,,,26000.0,Oui,30000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Stage année césure / Contrat de professionnalisation,Les perspectives de carrière dans cette entreprise,oui,oui,4.0,4.0,5.0,3.0,4.0,4.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Difficulté dans l'entreprise d'apprentissage,4.0,,,Oui
Homme,1882454961231850,Non,Brésilienne,2018,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,A l'étranger,,Brésil,30.0,4.0,ACTIA Group,250 à  4 999 salarié(e)s ,Oui,Actia Group,Commercial(e) (dont ingénieur(e) d'affaire) ,Coordinateur Commerciale,Non,"Industrie automobile, aéronautique, navale, ferroviaire",,C,,26000.0,Oui,30000.0,OUI,OUI,OUI,OUI,Oui,Souvent (plusieurs heures par semaine),Quotidiennement,,Candidature spontannée,Le secteur d'activité de l'entreprise,oui,oui,4.0,4.0,5.0,5.0,5.0,4.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées,5.0,,,Oui
Femme,1793840354015260,Oui,,2020,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),6.0,En France,Bretagne,,1.0,2.0,Lactalis Nutrition Santé,De 50 à 249 salarié(e)s ,Oui,Groupe Lactalis,Marketing,Assistante marketing,Non,Industrie agroalimentaire ,,,,26400.0,Non,26400.0,NON,OUI,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),De 4 à moins de 5 mois,stage de fin d'études,Les perspectives de carrière dans cette entreprise,non,oui,4.0,4.0,5.0,3.0,3.0,3.0,Oui,Actuellement Contrat CDD de 6 mois ,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,"Moins de propositions de recrutement|Moins d'offres d'emploi|""Acceptation d'un poste ne correspondant pas à mon diplôme """,5.0,,,Oui
Femme,1888486991617230,Oui,,2018,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,29.0,3.0,Florette,250 à  4 999 salarié(e)s ,Oui,Agrial,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projet développement et innovation,Non,Industrie agroalimentaire ,,,,26400.0,Oui,29600.0,OUI,NON,NON,OUI,Non,Quotidiennement,Très rarement,,Stage année césure / Contrat de professionnalisation,Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,3.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Femme,1789078960272400,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),12.0,En France,Occitanie,,4.0,3.0,LIRMM,5 000 salarié(e)s ou plus,Oui,CNRS,Informatique industrielle et technique ,Chef de projet ,Non,Recherche-développement scientifique,,,,26400.0,Non,26400.0,NON,OUI,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Moins d'un mois,stage de fin d'études,L'absence d'alternative,oui,oui,5.0,5.0,5.0,4.0,5.0,5.0,Oui,Fin de contract en septembre ,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Perte de stage de fin d'études ,4.0,OUI,NON,Oui
Homme,1782336060429990,,,2018,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,16.0,2.0,Pool Technologie,De 50 à 249 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur systèmes embarqués,Non,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,26400.0,Oui,31000.0,NON,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,,"Réseau social professionnel (viadéo, Linkedln)",Le lieu géographique ,oui,oui,4.0,5.0,5.0,2.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité,5.0,,,Oui
Homme,1798760225448130,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,30.0,1.0,Arcadie,De 50 à 249 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur Recherche & Développement,Oui,Industrie agroalimentaire ,,,,26500.0,Oui,34000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,stage de fin d'études,Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,4.0,5.0,2.0,Oui,Me rapprocher géographiquement de ma conjointe.,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Mobilité géographique compliquée,4.0,,,Oui
Homme,1875270214196200,Oui,,2020,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,5.0,0.0,Citeo Ingénierie , Moins de 10 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur chargé d études ,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,27000.0,Oui,27000.0,NON,NON,NON,NON,Non,Quotidiennement,Très rarement,,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,5.0,4.0,4.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1789245952283060,Oui,,2019,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Normandie,,4.0,0.0,Traiteur de la touques,De 50 à 249 salarié(e)s ,Oui,Agromousquetaire,Production - Exploitation ,Responsable amélioration continue ,Non,Industrie agroalimentaire ,,,,27000.0,Oui,30420.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,,Sites Internet d'entreprises,Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,4.0,4.0,4.0,3.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Annulation d'embauche|Moins d'offres d'emploi,4.0,,,Oui
Femme,1776166991066590,Oui,,2018,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,30.0,0.0,Saint jean,250 à  4 999 salarié(e)s ,Oui,Saint jean,"Qualité, sécurité, sûreté de fonctionnement ",Coordinatrice qualité sécurité et environment ,Non,Industrie agroalimentaire ,,,,27000.0,Oui,30000.0,NON,OUI,NON,OUI,Non,Quotidiennement,Jamais,,Candidature spontannée,Le contenu de la mission / poste proposé,oui,oui,3.0,3.0,3.0,2.0,3.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,Oui
Femme,1766825151490760,Oui,,2019,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Nouvelle-Aquitaine,,12.0,1.0,Ecocert,250 à  4 999 salarié(e)s ,Non,,Audit ,Auditeur /controleur,Non,"Agriculture, sylviculture et pêche ",,,,27000.0,Oui,29000.0,NON,NON,NON,NON,Non,Quotidiennement,Très rarement,,Sites Internet d'entreprises,L'adéquation avec un projet professionnel ,non,oui,5.0,4.0,4.0,3.0,5.0,4.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,3.0,,,Oui
Homme,1776551931058330,Oui,,2020,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,4.0,1.0,Antea Group,250 à  4 999 salarié(e)s ,Oui,Antea Group,Etudes - Conseil et expertise (autre qu'informatique),Ingénieurs d'études en Aménagements Hydrauliques & Milieux Aquatiques,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,27500.0,Oui,30000.0,NON,NON,NON,OUI,Non,Quotidiennement,Jamais,,"Réseau social professionnel (viadéo, Linkedln)",Le secteur d'activité de l'entreprise,oui,oui,5.0,5.0,5.0,4.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Difficulté pour le stage de fin d'études,5.0,,,Oui
Homme,1783551664006560,Oui,,2018,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),1.0,En France,Occitanie,,6.0,2.0,Polytech Montpellier,De 50 à 249 salarié(e)s ,Oui,Polytech,Enseignement - Formation ,Attaché temporaire d'enseignement,Non,"Enseignement, recherche",,"C|C++|Assembleur|""Python""",,27500.0,Non,27500.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,6 mois ou plus,Relations personnelles,Le contenu de la mission / poste proposé,oui,non,4.0,5.0,4.0,3.0,4.0,5.0,Non,,Plutôt d'accord,activité professionnelle,6 mois ou plus,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Changement de projet professionnel,4.0,,,Oui
Femme,1776106802247870,Oui,,2019,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) du secteur public,CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,15.0,2.0,Communauté de Communes du Genevois,De 20 à 49 salarié(e)s ,Non,,Maîtrise d'ouvrage ,Chargée d'opérations,Non,"Administration d'État, Collectivités territoriales, Hospitalière",,,,27549.0,Non,27549.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,Emploi trouvé avant l'obtention de votre diplôme,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,non,oui,4.0,5.0,5.0,2.0,3.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
Homme,1789582944674800,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),3.0,En France,Normandie,,18.0,1.0,Syndicat Interdépartemental de l'Eau Seine Aval,De 10 à 19 salarié(e)s ,Non,,Service Technique,Chargé d'affaires Assistance à Maitrise d'Ouvrage,Oui,"Administration d'État, Collectivités territoriales, Hospitalière",,,,27600.0,Non,27600.0,NON,OUI,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),Moins d'un mois,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,4.0,5.0,2.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,1.0,,,Non
Homme,1868183045269240,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Réunion,,1.0,0.0,EXA,De 50 à 249 salarié(e)s ,Non,,"Administration, gestion, finance, comptabilité ",Auditeur,Non,"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques",,,,28000.0,Non,28000.0,NON,NON,NON,NON,Non,Quotidiennement,Jamais,De 1 à moins de 2 mois,Candidature spontannée,Le lieu géographique ,oui,non,4.0,4.0,5.0,2.0,3.0,5.0,Non,,Plutôt d'accord,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1789471897079860,Oui,,2019,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Bourgogne-Franche-Comté,,17.0,0.0,SUEZ,5 000 salarié(e)s ou plus,Oui,SUEZ,Maîtrise d'ouvrage ,Responsable service Investissements et Patrimoine,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,,28000.0,Oui,46000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1768183506095160,Oui,,2019,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) du secteur public,CDD (contrat de travail à durée déterminée),12.0,En France,Occitanie,,14.0,5.0,Laboratoire d'Informatique de Robotique et de Microélectronique de Montpellier (LIRMM),250 à  4 999 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Expert électronicien,Oui,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)",,"C|""FreeRTOS, RUST""",,28000.0,Non,28000.0,OUI,NON,NON,NON,Non,Quotidiennement,Très rarement,Emploi trouvé avant l'obtention de votre diplôme,Forums/conférences au sein de l' école,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,3.0,4.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,,,Oui
Homme,1788692348319420,Oui,,2018,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) du secteur public,Titulaire de la fonction publique,,En France,Occitanie,,26.0,4.0,Conseil départemental de l Hérault ,5 000 salarié(e)s ou plus,Non,,Assistance technique,Charge d opérations ,Non,"Construction, BTP",,,,28000.0,Oui,30000.0,NON,NON,NON,OUI,Non,Quotidiennement,Jamais,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,5.0,4.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Femme,1782332336322280,Oui,,2020,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,6.0,3.0,ISL Ingénierie,De 50 à 249 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Chargé d'étude en hydraulique,Oui,Autres secteurs ,,,,28000.0,Non,28000.0,NON,NON,NON,NON,Oui,Quotidiennement,Très rarement,Moins d'un mois,stage de fin d'études,Le secteur d'activité de l'entreprise,oui,oui,4.0,5.0,4.0,4.0,3.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Mobilité géographique compliquée,3.0,,,Oui
Femme,1875368405378050,Oui,,2020,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),6.0,En France,Occitanie,,2.0,0.0,Société Coudène,De 50 à 249 salarié(e)s ,Non,,"Qualité, sécurité, sûreté de fonctionnement ",Assistante Qualité,Non,Industrie agroalimentaire ,,,,28080.0,Non,28080.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,De 3 à moins de 4 mois,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,4.0,3.0,4.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Moins de propositions de recrutement|Moins d'offres d'emploi|Difficulté pour le stage de fin d'études,5.0,,,Oui
Femme,1783483938740120,Oui,,2020,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,7.0,0.0,Europe des Pains,De 50 à 249 salarié(e)s ,Oui,Les Fromentiers,Production - Exploitation ,Gestionnaire ordonnancement ,Non,Industrie agroalimentaire ,,,,28200.0,Oui,28500.0,NON,NON,NON,NON,Non,Quotidiennement,Très rarement,,Stage année césure / Contrat de professionnalisation,Les perspectives de carrière dans cette entreprise,non,oui,4.0,4.0,4.0,3.0,5.0,4.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1788636477108340,Oui,,2018,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,28.0,0.0,Hardtech, Moins de 10 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur développement R&D,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,C|C++,,28800.0,Oui,30000.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,,stage de fin d'études,Le secteur d'activité de l'entreprise,oui,oui,4.0,4.0,5.0,2.0,4.0,5.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,Chômage partiel / Réduction d'activité,5.0,,,Oui
Femme,1789246119735420,Oui,,2019,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,4.0,0.0,Cabinet Merlin ,250 à  4 999 salarié(e)s ,,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur chargé d'études ,Oui,"Construction, BTP",,,,28800.0,Oui,28800.0,NON,NON,NON,OUI,,Quotidiennement,Jamais,,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,non,oui,4.0,2.0,4.0,1.0,2.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Mobilité géographique compliquée|Moins de propositions de recrutement|Prétention salariale revue,3.0,,,Oui
Femme,1766816841421730,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),7.0,En France,Occitanie,,6.0,5.0,Envilys Dev,De 10 à 19 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Développeur FullStack,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,28800.0,Non,28800.0,NON,NON,NON,OUI,Non,Quotidiennement,Jamais,Emploi trouvé avant l'obtention de votre diplôme,"Réseau social professionnel (viadéo, Linkedln)",Le lieu géographique ,oui,oui,5.0,5.0,5.0,2.0,5.0,5.0,Oui,Car c'est un CDD pas surement renouvelable en CDI selon les conditions sanitaires,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Moins d'offres d'emploi,4.0,OUI,NON,Oui
Femme,1889245695975650,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Nouvelle-Aquitaine,,12.0,3.0,Bordeaux Vineam ,De 20 à 49 salarié(e)s ,Oui,Bordeaux Vineam ,"Qualité, sécurité, sûreté de fonctionnement ",Responsable Qualité- Assistante de Production ,Non,"Agriculture, sylviculture et pêche ",,,,28800.0,Non,28800.0,NON,OUI,OUI,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Le contenu de la mission / poste proposé,oui,oui,2.0,3.0,4.0,2.0,4.0,3.0,Oui,"Absence de soutien dans les projets, management de la direction envers les employés ne me correspondant pas
 Je suis en période de transition entre mon travail actuel et mon futur employeur",Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1889477630529810,Oui,,2018,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Grand Est,,30.0,0.0,Villelec S.A.S.,De 10 à 19 salarié(e)s ,Non,,"Méthodes, contrôle de production, maintenance",Responsable Etudes et Industrialisation ,Oui,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)",,C,,29000.0,Oui,31000.0,OUI,NON,NON,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,oui,oui,3.0,4.0,3.0,2.0,3.0,4.0,Oui,Besoin de changement ,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,Non
Femme,1793840353484900,Oui,,2020,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,4.0,0.0,Altereo,De 50 à 249 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingenieure d'études en hydraulique urbaine,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,29075.0,Non,29075.0,NON,OUI,NON,OUI,Non,Quotidiennement,Très rarement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,La politique globale de relations humaines dans l'entreprise ,oui,oui,4.0,3.0,5.0,4.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1789034148978410,Oui,,2019,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Centre-Val de Loire,,20.0,5.0,Sopra Steria,De 50 à 249 salarié(e)s ,Oui,Sopra Steria Group,Exploitation / maintenance informatique ,,Oui,Télécommunications,,C|Java,,29280.0,Oui,32000.0,NON,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,stage de fin d'études,Le contenu de la mission / poste proposé,oui,non,4.0,5.0,5.0,4.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
