Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,nom_entreprise,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,Unnamed: 133,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_premier_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,premier_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Homme,1894680652132240,Oui,,2019,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Île-de-France,,15.0,5.0,SOLUTEC,250 à  4 999 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Ingénieur d'études,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,37000.0,Non,37000.0,NON,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,"Réseau social professionnel (viadéo, Linkedln)",Le secteur d'activité de l'entreprise,oui,non,4.0,5.0,4.0,4.0,4.0,3.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Prétention salariale revue,4.0,,,Oui
Homme,30102999566398,Non,Chinoise,2019,Sous contrat d'apprentissage,Microélectronique Et Automatique (MEA),En thèse,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Femme,1783045955881460,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Normandie,,18.0,0.0,Isigny Sainte-Mère,250 à  4 999 salarié(e)s ,Non,,"Qualité, sécurité, sûreté de fonctionnement ",Coordinatrice Qualité Pâtes Molles,Non,Industrie agroalimentaire ,,,,32880.0,Oui,35620.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,oui,3.0,4.0,4.0,4.0,4.0,4.0,Oui,Méthodes managériales,Plutôt en désaccord,"Volontariat (VIE, VIA..)",,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1783164893041410,Oui,,2019,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),15.0,En France,Provence-Alpes-Côte d'Azur,,14.0,0.0,Eurodia ,De 50 à 249 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur R&D technologie et support à la production,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,35000.0,Non,35000.0,OUI,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,De 1 à moins de 2 mois,Sites Internet d'entreprises,Le lieu géographique ,oui,oui,4.0,5.0,5.0,3.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,Oui
Femme,1782650225991380,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,6.0,5.0,TabMo (Labs),De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Développeuse back-end Scala,Non,Autres secteurs ,,,,35000.0,Non,35000.0,NON,NON,NON,NON,Non,Quotidiennement,Jamais,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,OUI,NON,Oui
Homme,1867641142480330,Oui,,2018,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,27.0,3.0,PriceComparator, Moins de 10 salarié(e)s ,Non,,Informatique industrielle et technique ,Développeur Front End,Oui,Activités informatiques et services d'information (TIC services),,,,33000.0,Non,33000.0,OUI,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Moins d'un mois,"Réseau social professionnel (viadéo, Linkedln)",L'adéquation avec un projet professionnel ,oui,oui,5.0,4.0,5.0,3.0,5.0,4.0,Non,,Tout à fait d'accord,Création d'entreprise/reprise d'entreprise,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,OUI,NON,Oui
Homme,1782714607622020,Oui,,2018,Sous contrat de professionalisation,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Oui,Salarié(e) du secteur public,CDI (contrat de travail à durée indéterminée),,A l'étranger,,Belgique,23.0,1.0,SWDE,250 à  4 999 salarié(e)s ,Non,,Production - Exploitation ,Ingénieur d'exploitation,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",,,,41400.0,Oui,44000.0,OUI,OUI,OUI,NON,Non,Quotidiennement,Très rarement,,Sites Internet d'entreprises,Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,4.0,4.0,5.0,4.0,Non,,Tout à fait d'accord,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,Ingénieur chargé de missions d'exploitation,En France,Provence-Alpes-Côte d'Azur,SEMM,5 000 salarié(e)s ou plus,Oui,Véolia,"Production et distribution d'eau assainissement, gestion des déchets et dépollution",6.0,Oui,Non,Stage année césure/ Contrat de professionnalisation ,L'adéquation avec un projet professionnel ,34500.0,Non,34500.0,3.0,Recours au télétravail,4.0,,,Oui
Homme,1768549796148560,Oui,,2019,Formation initiale (hors apprentissage),Mécanique et Interactions (MI),En thèse,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Homme,1883678675918150,Oui,,2020,Sous contrat de professionalisation,Mécanique et Interactions (MI),En poursuite d'études (hors thèse),,,,,Oui,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1783800339299580,Oui,,2019,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,11.0,1.0,Asklé Santé,De 50 à 249 salarié(e)s ,Oui,Winncare France,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur projet,Oui,Santé humaine et action sociale,,"C|""Python""",,30000.0,Oui,31500.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),,Relations personnelles,Le lieu géographique ,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
