"identifiant","remuneration_annuelle_brute_avec_prime_premier_emploi","remuneration_prime","mois_emploi_occupe"
"1789246012863790",NA,NA,NA
"1788516821411240",NA,NA,NA
"1776615827637770",NA,NA,NA
"1798529029776330",NA,NA,NA
"1788414700944440",NA,NA,NA
"1782332213856140",NA,35000,4
"1789142416248660",19200,21550,1
"1783483879051640",NA,40000,6
"1776626247486660",NA,22000,2
"1883067313533930",NA,30550,4
"1789023084728820",NA,NA,NA
"1782592364663810",NA,30550,7
"1782332086092190",NA,NA,7
"1775640685813790",NA,38160,6
"1782977170103270",NA,31700,6
"1767833412260590",NA,NA,13
"1758523132419240",NA,32000,5
"1794332569537410",33000,NA,NA
"1782661106976820",NA,32500,8
"1742932406541910",36000,36000,1
"1889743523247860",32000,NA,NA
"1788746977637810",NA,84000,1
"1794190718918920",22000,35000,1
"1876502131424770",NA,31000,17
"1767641909135970",NA,NA,NA
"1789583114713810",26400,NA,NA
"1883551375283220",NA,NA,NA
"1788522869361690",NA,33500,11
"1775263968331510",25000,30000,10
"1768183681473490",31000,NA,NA
"1768367524438020",NA,41094,18
"1757617280501340",NA,31722,1
"1789196359781300",NA,NA,NA
"1783297923299510",NA,NA,10
"1882421169635880",31000,30000,4
"1783297988373250",32000,34000,2
"1793786671051110",29000,NA,NA
"1776106957262200",NA,NA,NA
"1767193880992300",NA,32000,14
"1776166978309990",20000,32000,2
"1793838194320470",NA,30000,12
" Trop de charge de travail (entreprise en difficulté - sans perspective d'amélioration à court terme) et pas de reconnaissance ",NA,NA,4
"1783039467983410",26000,27000,4
"1782592354372700",22000,50000,16
"1788516592358550",NA,31200,2
"1888516386336950",NA,25920,10
"1775257602685030",30000,40000,11
"1899261169113090",NA,NA,18
"1776615758564050",35000,35000,7
"1767472951760580",30000,NA,NA
"1782649831753210",NA,35000,17
"1794779518200290",NA,40000,15
"1783679026895520",NA,30000,7
"1889196166142850",NA,30000,7
"1783551791493310",NA,35000,12
"1776106803647000",NA,51000,19
"1776019459092900",23000,NA,NA
"1769007981249560",NA,33300,12
"1899292521893160",NA,34000,12
"1768183605485420",NA,30000,24
"1776167203832290",NA,NA,NA
"1767911676181750",NA,31000,24
"1788516703736650",30000,NA,NA
"1783101037010870",NA,35000,18
"1798760223232460",NA,40000,24
"1788692464408060",NA,34000,24
"1782332406941580",NA,34000,33
"1782520390078810",NA,NA,NA
"1783049615948640",NA,38290,30
"1783303729803930",NA,40000,18
"1789034154590610",31500,39000,1
"1968316585347690",NA,31000,27
"1767833505076640",NA,34375,4
"1789138953630590",NA,37000,2
"1789471904307210",NA,NA,NA
"1788913345952660",13200,NA,NA
"1782520393975250",NA,36500,18
"1783298117244180",NA,NA,NA
"1982421121197550",NA,34125,20
"1776167054266030",NA,NA,NA
"1768453717959910",31000,24000,6
"1788460092295210",NA,33000,20
"1894034281641740",NA,NA,NA
"1757379921945330",NA,NA,NA
"1783100974718700",28500,28800,2
"1783551664640630",NA,33600,18
"1802846052462780",NA,NA,NA
"1776615827742480",NA,32000,17
"1782714740771440",NA,34000,7
"1783101109430220",NA,NA,1
"1788460157927700",NA,26400,2
"1794637799468610",35000,NA,NA
"1799240276425990",NA,NA,NA
"1788412944803850",NA,34200,18
"1788639812991470",NA,32000,8
"1782520512834500",34450,35000,1
"1789139230267320",NA,37000,5
"1782920965133030",NA,52000,17
"1783551861223210",NA,32500,16
"1776166979008570",NA,30000,17
"1882421149142780",30000,38000,4
"1776166905404100",NA,NA,11
"1798575230918060",NA,NA,4
"1875345038212540",NA,40000,1
"1888486991852680",NA,NA,8
"1775265359931030",NA,27300,17
"1789078743073440",NA,31000,18
"1794775458291640",NA,38570,17
"1782401307107040",42000,48000,0
"1788639858775910",NA,NA,11
"1798487221615820",NA,28200,13
"1783036971970720",NA,31080,17
"1798488075629090",NA,28000,18
"1788636022996220",NA,31400,18
"1882326620559430",NA,NA,NA
"1798575226519670",NA,30000,18
"1798891359878950",NA,21000,18
"1775265273928660",35000,37000,4
"1767838880673710",NA,NA,NA
"1798760313419580",NA,NA,NA
"1882421143088620",NA,36300,19
"1782457796618290",30000,28229,10
"1783165146986880",NA,27600,11
"1798487317435050",NA,NA,15
"1794190670246510",23000,28000,4
"1803013596808820",NA,27950,5
"1768015126454010",25200,24600,10
"1775408740278300",NA,25446,11
"1793744558919620",NA,NA,18
"1788410722794740",35000,44000,6
"1775408573569340",NA,41000,1
"1775414081707000",NA,32800,27
"1758626839506070",9600,16200,27
"1802845967927860",NA,32000,7
"1807215231163560",32000,36000,14
"1783049799429820",19200,33800,1
"1794680960863590",25600,34000,18
"1899018396732320",NA,6000,17
"1788460148376890",NA,34000,18
"1794775597428280",NA,NA,NA
"1798760221874020",NA,40000,36
"1776091882446630",NA,NA,26
"1776242171247820",NA,45000,3
"1775345104087020",NA,26400,30
"1767473227295350",NA,54400,30
"1767833503373530",NA,43700,30
"1782332335839360",NA,44982,30
"1889471553378420",34000,36000,3
"1777133585322030",NA,29000,5
"1767833595276880",NA,38000,26
"1798714260077950",NA,34000,14
"1783551852318230",29500,33000,6
"1789246064047580",NA,30000,16
"1794334594344790",NA,35000,16
"1783429267754430",NA,NA,NA
"1767188038511560",NA,20000,30
"1889425571740490",NA,40000,36
"1783101102361120",NA,NA,24
"1776167208283570",NA,30000,15
"1783551727370030",28000,36000,1
"1775263816305300",NA,NA,30
"1788692238991680",NA,45600,60
"1789078904504380",NA,30552,25
"1776621701199620",NA,42000,15
"1794775550924850",25000,30000,13
"1789471954669600",35000,37000,13
"1794043017455940",NA,43000,16
"1976621288630210",29100,36000,13
"1883678682497930",NA,60000,48
"1976106646655870",NA,NA,NA
"1789078963063880",NA,27000,30
"1788523044070470",NA,NA,19
"1798760270967010",NA,37000,18
"1794332520034890",NA,35000,30
"1788922255091930",37000,39000,1
"1798487315600670",NA,NA,29
"1767833421273260",NA,33100,30
"1758523254310480",NA,36000,24
"1889582630559030",NA,80000,8
"1775335303402870",28000,30000,5
"1789472455434640",NA,NA,6
"1798760315669730",NA,33000,13
"1794677431297790",NA,38500,24
"1789078963103650",NA,36400,13
"1789078795603350",30000,30000,16
"1794282959000230",NA,32000,31
"1783041977841660",NA,43000,4
"1883100658193290",25989,NA,NA
"1775955965531970",NA,24000,12
"1794681015331180",NA,NA,22
"1868316584717150",NA,32600,45
"1789078907776820",NA,37700,24
"1782462545816030",27600,25200,14
"1798487226112390",NA,30000,11
"1788922031480630",NA,37063,2
"1788918836598720",NA,NA,NA
"1782650096505970",NA,38500,24
"1857533991122950",60000,27500,11
"1799416566377100",NA,50000,36
"1767473055582780",51000,51000,32
"1798760362128650",32200,NA,NA
"1882874460836400",NA,NA,NA
"1794680820471540",NA,NA,36
"1793838251397090",NA,28000,25
"1788523046356410",NA,33500,24
"1867187703303400",NA,29000,28
"1789477548926290",NA,30000,30
"1782392902721990",NA,43000,30
"1789477327597840",NA,NA,NA
"1875490726969170",NA,NA,30
"1776167066293790",28000,20000,5
"1883045462793040",NA,28200,18
"1788922314581180",18000,32000,24
"1968316520817750",35000,22600,23
"1788686216250320",NA,38000,30
"1902765998014930",NA,34000,25
"1794779572971440",39000,26400,11
"1783101046496600",30500,32200,7
"1798760311203280",NA,NA,NA
"1782921165852210",28000,33000,16
"1789083267598620",NA,36500,31
"1789083268603530",NA,NA,24
"1889086335276390",36000,32000,12
"1788639926947260",NA,24777,26
"1868381320692510",NA,NA,NA
"1775570397516680",38000,44800,23
"1882791901441040",NA,NA,NA
"1776106869282940",NA,50000,18
"1876091311253270",NA,28000,4
"1783678963003780",NA,38000,2
"1788692405212060",NA,30000,20
"1782714864988640",NA,34000,7
"1782336904542940",NA,34000,22
"1794681012483640",NA,NA,NA
"1798487275128440",NA,28200,4
"1788692405734940",NA,37000,17
