Genre,Identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,nature_contrat,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,statut_entreprise,nb_salarie_entrprise,entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,secteur_intervention,emploi_lie_energie_renouvelable,salaire_brut_sans_prime,prime,salaire_brut_avec_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite_projet,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Femme,1776615757693250,Oui,,2021.0,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDD (contrat de travail à durée déterminée) y compris de la fonction publique,6.0,En France,Auvergne-Rhône-Alpes,,5.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,Danone,"Qualité, hygiène, sécurité, environnement, normalisation, certification",Ingénieur qualité opérationnelle ,Oui,Industrie agroalimentaire ,Industrie agroalimentaire ,,34200.0,Oui,46700.0,NON,NON,NON,NON,Oui,Quotidiennement,Très rarement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),"Apprentissage (embauche dans l'entreprise d'accueil du contrat)|Réseaux des anciens /association des anciens (polytech Connect)|Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)",Les perspectives de carrière dans cette entreprise,oui,oui,5.0,5.0,5.0,5.0,5.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Femme,1794628360740710,Oui,,2020.0,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,17.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,Terrena,Commercial(e) (dont ingénieur(e) d'affaire) ,Chef de secteur Sud Est,Non,"Agriculture, sylviculture et pêche ",Commerce,,27800.0,Oui,30110.0,NON,NON,NON,NON,Non,Quotidiennement,,,stage de fin d'études,stage de fin d'études,L'adéquation avec un projet professionnel ,non,non,5.0,5.0,5.0,3.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1789022859354490,Oui,,2020.0,Sous contrat d'apprentissage,Eau et Génie Civil (EGC - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,16.0,2.0,Secteur privé,250 à  4 999 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chargé d'études GC et travaux souterrains,Oui,"Production et distribution d'eau assainissement, gestion des déchets et dépollution","Construction, BTP",,,,,OUI,OUI,OUI,OUI,Non,,,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),,,,5.0,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1889637802926240,Oui,,2020.0,Sous contrat de professionalisation,Matériaux (MAT),En recherche emploi,Non,5.0,Oui,Mobilité géographique difficile|Manque d'expérience professionnelle|Certains postes pouvaient s'éloigner de ma formation ,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Volontariat (VIE, VIA..)",,,,,,,,,,,,,,,,,,,,,Mobilité géographique compliquée|Moins de propositions de recrutement|Moins d'offres d'emploi,3.0,,,Oui
Homme,1788410670097540,Oui,,2021.0,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,,Non,Salarié(e),CDD (contrat de travail à durée déterminée) y compris de la fonction publique,1.0,En France,Auvergne-Rhône-Alpes,,2.0,3.0,Secteur privé,5 000 salarié(e)s ou plus,Non,,"Développement durable, RSE (Responsabilité Sociétale des Entreprises)",Ingénieur-Chercheur écoconception,Oui,Autres secteurs ,Autres secteurs ,,31000.0,Non,31000.0,NON,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,De 2 à moins de 3 mois,Sites Internet d'entreprises,"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises",L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,5.0,3.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Moins d'offres d'emploi|Difficulté pour le stage de fin d'études,4.0,,,Oui
Homme,1788969137646660,Non,Béninoise,2021.0,Formation initiale (hors apprentissage),Matériaux (MAT),En poursuite d'études (hors thèse) / en formation,,,,,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1776102122857150,Oui,,2019.0,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Auvergne-Rhône-Alpes,,15.0,1.0,Secteur privé,250 à  4 999 salarié(e)s ,Non,,Commercial(e) (dont ingénieur(e) d'affaire) ,Ingénieur d'affaires,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)","Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,32000.0,Oui,45000.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Très rarement,,Relations personnelles,Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée|Relations personnelles,L'adéquation avec un projet professionnel ,oui,non,4.0,5.0,5.0,5.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Annulation d'embauche|Moins de propositions de recrutement,4.0,,,Oui
Femme,1788970875470830,Non,Marocaine,2021.0,Formation initiale (hors apprentissage),Matériaux (MAT),En recherche emploi,Oui,6.0,Non,Difficulté à mettre en valeur mes compétences|Formation inadaptée au marché de l'emploi,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,Oui
Homme,1893808520575880,Oui,,2021.0,Formation initiale (hors apprentissage),Matériaux (MAT),En poursuite d'études (hors thèse) / en formation,,,,,non,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1894680637258410,Oui,,2021.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Centre-Val de Loire,,5.0,2.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,Astek,Prestataires de services,Ingénieur d'études et de développement,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants","Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,32000.0,Non,32000.0,OUI,NON,OUI,NON,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,Démarché(e) par un 'chasseur de têtes',Démarché(e) par un 'chasseur de têtes',L'adéquation avec un projet professionnel ,oui,non,3.0,5.0,4.0,4.0,4.0,,Oui,Je souhaite créer mon entreprise,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Difficulté pour le stage de fin d'études|Autre,3.0,,,Oui
Femme,1776166903900530,Oui,,2021.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,6.0,2.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,Vinci ,"Réseaux, intranet, internet, télécommunications ",Ingénieure projets ,Oui,Industrie des technologies de l'Information et de la Communication (TIC),Industrie des technologies de l'Information et de la Communication (TIC),,32160.0,Oui,35644.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,,,stage de fin d'études,Forums/conférences au sein de l' école,L'adéquation avec un projet professionnel ,oui,non,5.0,5.0,4.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,3.0,,,Oui
Homme,1794036588876180,Oui,,2020.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En thèse / PhD,,,,,,Contrat à durée déterminée (CDD),,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité|Mobilité géographique compliquée|Difficulté pour le stage de fin d'études,5.0,,,Oui
Homme,1794775550866700,Oui,,2019.0,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,17.0,2.0,Secteur privé,De 20 à 49 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Ingénieur développeur ,Oui,Recherche-développement scientifique,Recherche-développement scientifique,,35000.0,Non,35000.0,NON,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,Candidature spontannée,Apprentissage (embauche dans l'entreprise d'accueil du contrat)|stage de fin d'études|Candidature spontannée,Le secteur d'activité de l'entreprise,oui,oui,4.0,5.0,5.0,3.0,4.0,4.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
Homme,1882331852479650,Oui,,2020.0,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDD (contrat de travail à durée déterminée) y compris de la fonction publique,18.0,En France,Occitanie,,15.0,0.0,Secteur public,250 à  4 999 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur de recherche RF,Oui,Recherche-développement scientifique,Recherche-développement scientifique,,29270.0,Non,29270.0,NON,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Moins d'un mois,Relations personnelles,Réseaux des anciens /association des anciens (polytech Connect)|Relations personnelles,Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,,5.0,5.0,Oui,échéance du cdd qui approche,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées,4.0,,,Oui
Homme,1868316558156620,Oui,,2019.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Auvergne-Rhône-Alpes,,26.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Non,,"Réseaux, intranet, internet, télécommunications ",Conducteur de travaux ,Oui,Télécommunications,Télécommunications,,33000.0,Oui,35500.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Jamais,,Relations personnelles,Site Internet spécialisé dans l'emploi (dont APEC)|Sites Internet d'entreprises|Candidature spontannée|Relations personnelles,Le secteur d'activité de l'entreprise,oui,non,4.0,4.0,4.0,4.0,4.0,5.0,Oui,Évolution et découverte de nouveaux domaines d'activités,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1789471843872410,Oui,,2020.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,,Ingénieur validation et vérification système,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poursuite d'études (hors thèse),,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Femme,1783045949464470,Oui,,2021.0,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,1.0,0.0,Secteur privé,250 à  4 999 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Ingénieur d'étude ,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Industrie des technologies de l'Information et de la Communication (TIC),,32000.0,Oui,35000.0,NON,NON,NON,NON,Non,,Souvent (plusieurs heures par semaine),,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Candidature spontannée",La politique globale de relations humaines dans l'entreprise ,oui,oui,,,5.0,,,5.0,Non,,activité professionnelle,,,,,,,,,,,,,,,,,,,,,,,,,Oui
Femme,1789078790593410,Oui,,2019.0,Sous contrat de professionalisation,Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,6.0,3.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,Bosch,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur en Validation Hardware,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,42000.0,Oui,45000.0,NON,NON,NON,NON,Oui,Quotidiennement,Rarement (quelques fois par mois),,Candidature spontannée,Candidature spontannée|Relations personnelles,Les perspectives de carrière dans cette entreprise,oui,oui,4.0,5.0,4.0,4.0,4.0,5.0,Non,,activité professionnelle,Moins d'un mois,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Ingénieur en Systèmes Embarqués,En France,Provence-Alpes-Côte d'Azur,Elsys Design,250 à  4 999 salarié(e)s ,Oui,"Sociétés de conseil, bureaux d'études",24.0,Oui,Non,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,36000.0,Oui,36500.0,2.0,Recours au télétravail|Missions modifiées,5.0,,,Oui
Homme,1888520668242630,Oui,,2020.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,18.0,0.0,Secteur privé,De 50 à 249 salarié(e)s ,Non,,Informatique industrielle et technique ,Développeur logiciel embarqué,Oui,Industrie pharmaceutique,Industrie pharmaceutique,,30000.0,Oui,31500.0,NON,NON,NON,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)",L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,3.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées,5.0,,,Oui
Homme,1814011059426950,Oui,,2019.0,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,28.0,0.0,Secteur privé, Moins de 10 salarié(e)s ,Non,,Informatique industrielle et technique ,Ingénieur systèmes embarqués ,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,37000.0,Non,37000.0,NON,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,4.0,4.0,4.0,Non,,activité professionnelle,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,5.0,,,Oui
Homme,1976052134751140,Oui,,2020.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En poursuite d'études (hors thèse) / en formation,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Volontariat (VIE, VIA..)",,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Mobilité géographique compliquée,5.0,,,Oui
Homme,1782910991646920,Oui,,2021.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,5.0,2.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,VINCI Energies,Maîtrise d'ouvrage ,Ingénieur Projet,Oui,Industrie des technologies de l'Information et de la Communication (TIC),Télécommunications,,32160.0,Oui,36840.0,OUI,OUI,OUI,OUI,Non,Quotidiennement,Jamais,,stage de fin d'études,"Forums/conférences au sein de l' école|stage de fin d'études|Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,4.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,,,Oui
Homme,1783429211757400,Oui,,2021.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,7.0,2.0,Secteur privé,250 à  4 999 salarié(e)s ,Oui,SERMA GROUP,Informatique industrielle et technique ,INGENIEUR FPGA,Oui,"Industrie automobile, aéronautique, navale, ferroviaire","Industrie automobile, aéronautique, navale, ferroviaire",,32000.0,Non,32000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,stage de fin d'études,Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,3.0,2.0,5.0,5.0,Oui,Nouvelles opportunitées,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées,2.0,,,Oui
Femme,1775637644878360,Oui,,2019.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,7.0,3.0,Secteur privé,De 50 à 249 salarié(e)s ,Oui,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur d'études ,Oui,"Autres activités spécialisées, scientifiques et techniques",Recherche-développement scientifique,,32000.0,Oui,32000.0,,,,,Non,,,,Démarché(e) par un 'chasseur de têtes',"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)|Candidature spontannée|Démarché(e) par un 'chasseur de têtes'",,,,2.0,,,,,,,,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDD (contrat de travail à durée déterminée),Fin de contrat ou fin de mission,,En France,Provence-Alpes-Côte d'Azur,, Moins de 10 salarié(e)s ,Non,Recherche-développement scientifique,8.0,Oui,Non,Stage de fin d'études,Autre,27000.0,Oui,27000.0,1.0,Report de signature de contrat / Report d'embauche|Annulation d'embauche|Moins de propositions de recrutement|Moins d'offres d'emploi,,,,
Homme,1768549611635210,Oui,,2021.0,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En recherche emploi,Oui,,Non,Recherches exigeantes pour un emploi qui me plaît,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1982874439967810,Oui,,2021.0,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,4.0,3.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,Safran ,Bureau d'études - développement logiciel ,Ingénieur Logiciel,Oui,"Industrie automobile, aéronautique, navale, ferroviaire","Industrie automobile, aéronautique, navale, ferroviaire",,32150.0,Oui,34500.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Apprentissage (embauche dans l'entreprise d'accueil du contrat),L'adéquation avec un projet professionnel ,oui,oui,4.0,5.0,5.0,3.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité|Report de signature de contrat / Report d'embauche,5.0,,,Oui
Homme,1883483808591720,Oui,,2020.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Provence-Alpes-Côte d'Azur,,11.0,0.0,Secteur privé,5 000 salarié(e)s ou plus,Oui,Sopra Steria Group,Cybersécurité,,Oui,Activités informatiques et services d'information (TIC services),Activités informatiques et services d'information (TIC services),,,,,NON,NON,NON,NON,Oui,Quotidiennement,Rarement (quelques fois par mois),,Site Internet spécialisé dans l'emploi (dont APEC),"Réseau social professionnel (viadéo, Linkedln)|Site Internet spécialisé dans l'emploi (dont APEC)",L'adéquation avec un projet professionnel ,oui,oui,4.0,3.0,4.0,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,,,Oui
Homme,1788692359007600,Oui,,2019.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,1.0,2.0,Secteur privé,De 20 à 49 salarié(e)s ,Oui,SynergieCAD Group,Informatique industrielle et technique ,Ingénieur Test,Oui,"Industrie automobile, aéronautique, navale, ferroviaire","Industrie automobile, aéronautique, navale, ferroviaire",,35000.0,Oui,37000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),,"Réseau social professionnel (viadéo, Linkedln)","Réseau social professionnel (viadéo, Linkedln)|Relations personnelles",L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,4.0,5.0,3.0,5.0,Non,,activité professionnelle,Moins d'un mois,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),"Démission, vous aviez une autre proposition de contrat",Ingénieur électronique et informatique ,En France,Occitanie,Alten,,,"Industrie automobile, aéronautique, navale, ferroviaire",4.0,Oui,Non,Démarché(e) par un 'chasseur de têtes',L'adéquation avec un projet professionnel ,31000.0,Non,31000.0,,Recours au télétravail|Chômage partiel / Réduction d'activité|Moins d'offres d'emploi|Perte d'emploi / Cessation d'activité,4.0,,,
Homme,1866816318742650,Oui,,2020.0,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),"En volontariat (VIE, VIA, Volontariat civil..)",,,,,,,Consultant junior bootloader,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,,,Oui
Homme,1794096388000370,Oui,,2021.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,6.0,0.0,Secteur privé,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projet - Développement produit,Oui,"Autres activités spécialisées, scientifiques et techniques","Autres activités spécialisées, scientifiques et techniques",,33000.0,Non,33000.0,NON,NON,OUI,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,4.0,3.0,4.0,2.0,5.0,3.0,Non,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,Oui
Homme,1783429015191570,Oui,,2020.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,13.0,0.0,Secteur privé, Moins de 10 salarié(e)s ,Non,,Informatique industrielle et technique ,Ingénieur système embarqué ( Telecom),Oui,Télécommunications,Télécommunications,,35000.0,Oui,37000.0,OUI,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,,Candidature spontannée,"Réseau social professionnel (viadéo, Linkedln)|Sites Internet d'entreprises|Candidature spontannée",Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,4.0,4.0,4.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,Annulation d'embauche|Prétention salariale revue,4.0,,,Oui
Homme,1794043014866040,Oui,,2020.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Non,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,16.0,1.0,Secteur privé, Moins de 10 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingenieur chef de projet système en embarqué,Oui,Recherche-développement scientifique,"Autres activités spécialisées, scientifiques et techniques",,37500.0,Oui,40000.0,NON,NON,OUI,OUI,Non,Quotidiennement,Souvent (plusieurs heures par semaine),,stage de fin d'études,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,4.0,4.0,5.0,5.0,Non,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1788460214031210,Oui,,2019.0,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,,Oui,Salarié(e),CDI (contrat de travail à durée indéterminée) y compris de la fonction publique,,En France,Occitanie,,12.0,0.0,Secteur privé,De 20 à 49 salarié(e)s ,Non,,Production - Exploitation ,Équipier,Non,Hébergement et restauration,Hébergement et restauration,,15128.0,Non,15128.0,NON,NON,OUI,NON,Non,Quotidiennement,Jamais,6 mois ou plus,Candidature spontannée,Candidature spontannée,J'ai créé / repris mon entreprise,non,non,4.0,2.0,3.0,4.0,5.0,5.0,Oui,Changement de projet professionnel ,Création d'entreprise/reprise d'entreprise,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
