Date,sexe,identifiant,date_diplome,filiere,nationalite_francaise,nationalite,remuneration_annuelle_brute,prime,remuneration_prime,remuneration_annuelle_brute_hors_prime_premier_emploi,prime_premier_emploi,remuneration_annuelle_brute_avec_prime_premier_emploi
27/03/2023 23:17,Femme,1766816841421730.0,2020,Informatique et Gestion (IG),Oui,,,Non,,,,
27/03/2023 20:44,Homme,1782326986482810.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
27/03/2023 20:12,Femme,1783100914527120.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,22000.0,Oui,23000.0,,,
27/03/2023 18:09,Homme,1793841850404150.0,2022,Matériaux (MAT),Oui,,31000.0,Oui,33500.0,,,
27/03/2023 12:57,Femme,1776615967624050.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,40000.0,Oui,42000.0,,,
27/03/2023 11:48,Femme,1776091807833230.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,32000.0,Oui,35000.0,,,
26/03/2023 21:19,Homme,1782332281044560.0,2020,Informatique et Gestion (IG),Oui,,,,,,,
25/03/2023 11:53,Femme,1793886666618870.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,31000.0,Non,31000.0,,,
25/03/2023 10:06,Homme,1768550499574310.0,2022,Informatique et Gestion (IG),Oui,,34160.0,Non,34160.0,,,
25/03/2023 03:32,Homme,1793841753786830.0,2022,Mécanique et Interactions (MI),Oui,,,,,,,
24/03/2023 17:47,Femme,1856804520498890.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,41000.0,Oui,43000.0,,,
24/03/2023 17:46,Femme,1783045765966630.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,33000.0,Non,33000.0,,Non,
24/03/2023 17:07,Femme,1783036913564170.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,38500.0,Oui,39000.0,,,
24/03/2023 16:58,Femme,1903005388776860.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,Non,,20000.0,Non,20000.0
24/03/2023 16:38,Femme,1799018776137710.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,29500.0,Oui,32000.0,,,
24/03/2023 16:05,Femme,1888769130898010.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,38400.0,Oui,42400.0
24/03/2023 15:23,Femme,1775414009005030.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,34000.0,Non,34000.0,,,
24/03/2023 13:22,Homme,1788692187750670.0,2022,Mécanique et Interactions (MI),Oui,,28650.0,Oui,32000.0,,,
24/03/2023 11:07,Femme,1794193640473770.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,34000.0,Oui,34000.0,,,
24/03/2023 11:03,Femme,1788410326946400.0,2022,Génie Biologique et Agroalimentaires (GBA),Non,Allemande,42000.0,Oui,45487.0,,,
24/03/2023 10:56,Homme,1767194049189820.0,2022,Génie Biologique et Agroalimentaires (GBA),Oui,,,Oui,,,,
24/03/2023 10:39,Femme,1783239889874180.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,39000.0,Non,39000.0,,,
24/03/2023 10:02,Homme,1868316566164700.0,2020,Informatique et Gestion (IG),Oui,,37000.0,Oui,38000.0,,,
24/03/2023 09:58,Femme,1788686096893490.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,27500.0,Non,27500.0,,,
24/03/2023 09:53,Femme,1775955957977140.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,31203.0,Oui,34000.0,,,
23/03/2023 18:54,Homme,1793786763733010.0,2022,Mécanique et Interactions (MI),Oui,,,,,,,
23/03/2023 18:09,Homme,1899261168591870.0,2020,Systèmes Embarqués (SE - apprentissage),,,,,,37200.0,Oui,53000.0
23/03/2023 17:19,Femme,1775265347726000.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,32307.0,Oui,35000.0,,,
23/03/2023 17:04,Homme,60205999132796.0,2022,Informatique et Gestion (IG),Non,Senegalaise,53100.0,Non,53100.0,,,
23/03/2023 16:31,Femme,1776695376937730.0,2021,Génie Biologique et Agroalimentaires (GBA),Oui,,,,,,,
23/03/2023 08:47,Femme,1913884933538010.0,2022,Sciences et Technologies de l'Eau (STE),Non,Péruvienne,32000.0,Oui,34100.0,,,
23/03/2023 08:43,Homme,1794680868627280.0,2020,Systèmes Embarqués (SE - apprentissage),Oui,,,Non,,,,
23/03/2023 08:29,Homme,1794332466676110.0,2022,Mécanique et Interactions (MI),Oui,,34300.0,Non,34300.0,,,
23/03/2023 06:47,Homme,1876106416468640.0,2022,Microélectronique Et Automatique (MEA),Non,Brésilienne,10000.0,Non,10000.0,,,
22/03/2023 19:37,Homme,1767190070685740.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,40000.0,Oui,46000.0,,,
22/03/2023 19:24,Homme,1793841897918010.0,2021,Eau et Génie Civil (EGC - apprentissage),Oui,,36500.0,Non,36500.0,,,
22/03/2023 18:43,Femme,1799018775733650.0,2022,Eau et Génie Civil (EGC - apprentissage),Non,Burkinabé ,,,,30000.0,Non,30000.0
22/03/2023 18:26,Homme,1783429139858020.0,2022,Sciences et Technologies de l'Eau (STE),Oui,,57000.0,Oui,62000.0,,,
22/03/2023 18:21,Homme,1782917235022370.0,2022,Mécanique et Interactions (MI),Oui,,,,,,,
22/03/2023 18:20,Homme,1767190160340410.0,2020,Eau et Génie Civil (EGC - apprentissage),Oui,,42000.0,Oui,55000.0,,,
22/03/2023 18:13,Femme,1788516818654960.0,2020,Eau et Génie Civil (EGC - apprentissage),Oui,,41000.0,Oui,46000.0,,,
22/03/2023 17:09,Homme,1783049680086410.0,2021,Matériaux (MAT),Oui,,34800.0,Oui,37500.0,,,
19/03/2023 15:07,Femme,1782782059962560.0,2020,Génie Biologique et Agroalimentaires (GBA),Oui,,40000.0,Non,40000.0,,,
18/03/2023 16:43,Homme,1783297923325090.0,2022,Informatique et Gestion (IG),Oui,,44000.0,Non,44000.0,,,
14/03/2023 17:07,Homme,1789743836670460.0,2020,Informatique et Gestion (IG),Oui,,50000.0,Non,50000.0,,,
13/03/2023 22:26,Homme,1783551797797200.0,2020,Eau et Génie Civil (EGC - apprentissage),Oui,,84500.0,Oui,90000.0,37700.0,Oui,39000.0
13/03/2023 11:30,Homme,1789751529102610.0,2020,Microélectronique Et Automatique (MEA),Non,Italienne,37500.0,Non,37500.0,,,
12/03/2023 21:51,Homme,1788460149544450.0,2020,Eau et Génie Civil (EGC - apprentissage),Oui,,36000.0,Oui,38500.0,,,
12/03/2023 14:48,Homme,1768183496273810.0,2020,Informatique et Gestion (IG),Oui,,45000.0,Non,45000.0,,,
10/03/2023 18:30,Homme,1782921218686600.0,2020,Mécanique Structures Industrielles (MSI - apprentissage),Oui,,44400.0,Oui,52100.0,,,
09/03/2023 23:11,Homme,1882335760456850.0,2021,Informatique et Gestion (IG),Oui,,42000.0,Oui,45000.0,35000.0,Oui,50000.0
09/03/2023 16:40,Homme,1783165151574090.0,2020,Informatique et Gestion (IG),Oui,,75000.0,Non,75000.0,38000.0,Non,38000.0
09/03/2023 16:14,Homme,1775873539752900.0,2020,Informatique et Gestion (IG),Oui,,45000.0,Non,45000.0,30000.0,Oui,36000.0
09/03/2023 11:39,Homme,1768549888396460.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,31850.0,Oui,34500.0,,,
08/03/2023 15:04,Homme,1776107021330320.0,2020,Informatique et Gestion (IG),Oui,,50000.0,Non,50000.0,29000.0,Non,29000.0
08/03/2023 12:25,Homme,1882522578241470.0,2020,Informatique et Gestion (IG),Non,Brésilienne,44000.0,Non,44000.0,,,
08/03/2023 11:39,Homme,1767838787712970.0,2021,Informatique et Gestion (IG),Oui,,36000.0,Oui,39600.0,,,
08/03/2023 11:36,Homme,1788410960407410.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,30360.0,Oui,33649.0,,,
08/03/2023 11:25,Homme,1775270642923870.0,2020,Informatique et Gestion (IG),Oui,,,Oui,,,,
08/03/2023 10:39,Homme,1798714174619490.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,30000.0,Non,30000.0,,,
08/03/2023 10:31,Homme,1788910985230730.0,2022,Eau et Génie Civil (EGC - apprentissage),Oui,,36000.0,Oui,39900.0,,,
